Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,E1: Producer,E1 Evidence,E2: Accessible,E2 Evidence,C3 Differentiation,C3 Evidence,C4 DM Quality,C4 Evidence,C5 Growing Sector,C5 Evidence,C6 Growth Signals,C6 Evidence,C7 Systems Maturity,C7 Evidence,C8 Leadership Succession,C8 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
VAF Aero Systems Pvt Ltd (VJP),vafindia.com,Coimbatore,Precision auto components & engineering / Aerospace (Basket C),"High-precision aluminium castings — defence castings, aerospace castings, gravity die casting, sand casting, green sand casting. Anodized finished castings. Established 1983",Rs.25-100Cr,Promoter-led (family),MD / Director,Founded 1983 — one of oldest foundries in Coimbatore. 40+ years in aluminium casting with defence and aerospace focus. Family-led with accumulated process knowledge.,PASS,"In-house aluminium foundry with gravity die casting, sand casting, green sand casting. Fully finished and anodized castings produced in-house. 51-200 employees.",PASS,HQ and manufacturing in Coimbatore since 1983. Supplies to Indian defence and aerospace sectors.,Moderate (10),Specialization in defence and aerospace castings provides niche positioning. Anodized finishing capability adds value. 40+ years in the same niche signals real expertise. However no unique IP or proprietary technology beyond domain focus.,Moderate (8),40+ years in aerospace casting for defence and aviation signals deep operator knowledge. Defence and aerospace customer base requires disciplined quality processes. Specific academic background not confirmed.,Strong (15),"Defence indigenization, Make-in-India, IN-SPACe — all drive demand for aluminium aerospace castings. India's defence budget growing at 8-10% annually. Lightweight castings replacing steel in aerospace.",Moderate (8),20 open roles on LinkedIn — significant hiring activity for 51-200 employee company. 40+ year established player in growing defence segment. Signals met: 1 (Hiring).,Moderate (10),Defence and aerospace customers enforce quality standards on suppliers. 40-year operation for these sectors requires systematic quality documentation. No explicit ERP mention but quality requirements drive internal systems.,Weak (0),51-200 employees. Founder-established 1983 company — succession to gen-2 not confirmed publicly. No professional managers or independent directors found in public data.,51,C — Borderline,Borderline,40-year aerospace aluminium casting foundry with defence focus and 20 open roles. Strong sector tailwind. C3 moderate (no IP moat beyond domain) and C8 weak (no succession evidence) limits score. Research MCA filings for director details.,One of Coimbatore's oldest aluminium foundries (est. 1983) specializing in defence and aerospace castings — 40+ years of accumulated expertise in anodized precision aluminium for India's defence sector.,vafindia.com; vjp.in; LinkedIn (20 open roles); company description
AQF India,aqfindia.com,Coimbatore,Precision auto components & engineering (Basket C),"Precision automobile components — selector forks, pulleys, shafts, system blocks, valves, couplings. Casting foundry plus CNC machining. 50+ years heritage",Rs.50-100Cr,Promoter-led,MD / Director,Established as precision component manufacturer with 50+ years of heritage. Built reputation as high-quality machine shop for automobile industry. CAD/CAM centre for tooling.,PASS,In-house casting foundry and CNC machine shop at CODISSIA Industrial Park Coimbatore. CAD/CAM centre. Full capability from casting to finished machined components. ISO certified.,PASS,"Manufacturing at CODISSIA Industrial Park, Coimbatore. All production in India. Serves Indian automotive OEMs.",Moderate (10),Combination of casting foundry + CNC machining provides integrated capability. 50+ years experience. Serves automotive OEMs. However auto components space in Coimbatore is highly competitive — no unique technology or certification edge visible.,Moderate (8),50+ years of accumulated precision manufacturing experience. CAD/CAM investment signals structured engineering approach. Specific DM academic credentials not publicly available.,Strong (15),Indian automotive industry growing at 8-10% CAGR. EV transition creating demand for new precision components. Coimbatore is major auto component hub with Maruti and Tata sourcing from the city.,Moderate (8),50+ year established company with active customer relationships. No public revenue growth data. Website active. Signals met: 1 (Website/company longevity).,Moderate (10),ISO certified quality management. CAD/CAM centre for tooling signals digital manufacturing investment. CODISSIA Industrial Park location suggests some infrastructure standards. No explicit ERP mention.,Weak (0),50+ year old company — unclear if gen-2 has taken formal operational role. No professional managers or independent directors found publicly. Possible founder concentration.,51,C — Borderline,Borderline,"Long-established precision manufacturer with integrated casting and machining. Strong sector. C3 moderate (competitive market), C8 weak (no succession evidence). Research further before including.",50+ years of precision casting and CNC machining in Coimbatore — supplying critical automobile components from India's auto component capital with integrated foundry-to-finish capability.,aqfindia.com; IndiaMART; CODISSIA member records; company description
Super Sales India Ltd — Engineering Division,supersales.co.in,Coimbatore,Precision auto components & engineering (Basket C),"Gears and gearboxes — inline shaft helical, parallel shaft helical, bevel helical, worm gearboxes. OEM supplier to LMW Limited. BSE-listed public company",Rs.300-500Cr,Sanjay Jayavarthanavelu,Chairman,"MBA from Philadelphia University, USA. Nearly 3 decades experience in textile, engineering, machine tools, foundry and aerospace. Also Chairman & MD of LMW Limited. Part of the LMW promoter family.",PASS,In-house manufacturing of gears and gearboxes at Coimbatore facility. BSE-listed public company. Engineering division supplies to LMW and other OEMs.,PASS,HQ and manufacturing in Coimbatore. BSE-listed Indian public company.,Moderate (10),Gear and gearbox manufacturing with OEM supply relationship to LMW. Multiple gear types. However engineering division is only ~15% of total revenue and has seen declining revenue (Rs.91Cr to Rs.61Cr). Gearbox market is competitive.,Strong (15),"Chairman Sanjay Jayavarthanavelu has MBA from Philadelphia University with 30 years across textile engineering, machine tools, foundry and aerospace. Also leads LMW Limited — institutional calibre leadership.",Moderate (8),Infrastructure development driving gearbox demand. Industrial automation requiring precision gearing. However engineering division has seen declining revenue — not in growth mode.,Weak (0),Engineering division revenue declined from Rs.91Cr to Rs.61Cr (-33%). Division incurred loss of Rs.1.57Cr in FY2025 vs profit of Rs.13.49Cr FY2024. Signals met: 0 (negative growth).,Strong (20),"BSE-listed — mandatory quarterly results, auditors, independent directors. 1,281 employees. LMW Group connection brings group-level ERP and governance standards. Formal financial reporting in place.",Strong (15),BSE-listed — mandatory independent directors. Sanjay Jayavarthanavelu leads both Super Sales and LMW — institutional group governance. Next-generation products in pipeline suggest leadership continuity planning.,68,B — Probable Federer,Fit with caveat,"Strong governance (BSE listed, Sanjay Jayavarthanavelu from LMW) but engineering division declining (-33% revenue, loss in FY25). Include for the group pedigree but flag the division performance clearly.","Chaired by Sanjay Jayavarthanavelu (also CMD of LMW Limited) — supplying gears and gearboxes to India's largest textile machinery maker from Coimbatore, with next-generation gear products in pipeline.",supersales.co.in; BSE Annual Report FY25; LMW Annual Report 2023-24
Popular Systems Pvt Ltd,popularsystems.net,Coimbatore,Precision auto components & engineering (Basket C),"Wiring harness, electrical sub-assemblies, electrical panels, junction boxes for automotive and industrial applications. Focused Factory (Synchronous Manufacturing) model implemented",Rs.30-100Cr,Promoter-led,MD / Director,"Self-owned (not PE, not subsidiary). Implements Focused Factory (Synchronous Manufacturing) concept — a structured lean manufacturing approach. 20 open roles signals aggressive hiring.",PASS,In-house wiring harness and electrical assembly manufacturing. Focused Factory model implemented. Physical production of automotive electrical components.,PASS,Coimbatore-based manufacturing. Tamil Nadu operations.,Moderate (10),Automotive wiring harness with Synchronous Manufacturing shows process discipline above commodity level. Electrical panels and junction boxes add industrial segment. Focused Factory is genuine operational methodology.,Moderate (8),Focused Factory (Synchronous Manufacturing) adoption signals structured operations thinking — a specific lean manufacturing concept. 20 aggressive hiring roles. Self-owned structure (not PE).,Strong (15),Automotive wiring harness has China+1 tailwinds. EV wiring harness is a growing sub-segment. Industrial electrical panels benefit from manufacturing capex growth.,Strong (15),20 open roles listed — aggressive for company size. Signals met: Hiring (strong) + Website (active with 20 roles listed).,Strong (20),"Focused Factory / Synchronous Manufacturing explicitly implemented — this IS structured operations. Better workflow, improved material handling, reduced inventory — operational metrics being tracked. Unusual for MSME.",Moderate (8),Self-owned company — suggests founder-centric. 20 open roles includes diverse functions suggesting growing management team. Specific succession not confirmed.,76,B — Probable Federer,Fit,MSME wiring harness maker that explicitly implemented Synchronized Manufacturing. Strong systems thinking for the size. 20 open roles. Operator-Federer archetype — company that has already accepted they need process.,Explicitly implemented Synchronized Manufacturing (Focused Factory) concept for automotive wiring harness — 20 open roles signals aggressive scale-up from this Coimbatore specialty assembler.,popularsystems.net; LinkedIn (20 open roles); company description
Cotton Concepts (CC),cottonconcepts.global,Coimbatore,Technical textiles & specialty yarns (Basket C),"Certified sustainable home textiles — GRS (Recycled), GOTS (Organic), OEKOTEX, OCS certified. Bamboo, Linen, Hemp fiber products. Design, product development and manufacturing integrated",Rs.50-100Cr,Promoter-led,MD / Director,"Privately held. 201-500 employees. Multiple international certifications (GRS, GOTS, OEKOTEX, OCS). Integrated design-to-manufacturing operation.",PASS,"In-house manufacturing of certified sustainable home textiles in Coimbatore. Design, product development and manufacturing integrated under one roof.",PASS,"Manufacturing in Coimbatore, Tamil Nadu. All operations in India.",Strong (20),"Holds GRS (Global Recycled Standard) + GOTS (Global Organic Textile Standard) + OEKOTEX + OCS simultaneously — each is a rigorous third-party audit. Bamboo, hemp, linen alongside organic cotton — specialty sustainable textiles with premium global demand.",Moderate (8),201-500 employees with integrated design and manufacturing. Multiple international certifications signal governance maturity and technical compliance. Specific founder background not confirmed.,Strong (15),European importers requiring GRS/GOTS certified products. ESG-driven sourcing from global brands. China+1 in sustainable textiles. Organic and recycled certification commands price premium.,Moderate (8),Multiple roles in textile design and admin. 201-500 employees. Annual certification renewals signal ongoing compliance investment. Signals met: 1 (Hiring + certification maintenance).,Strong (20),"GRS, GOTS, OEKOTEX certifications require rigorous documentation, material traceability systems, annual third-party audits. Integrated design-to-manufacturing means coordinated production systems.",Moderate (8),201-500 employees suggests professional management team. Integrated design capability alongside manufacturing shows leadership depth. Specific succession not confirmed.,79,B — Probable Federer,Fit,"Multiple international sustainability certifications (GRS, GOTS, OEKOTEX) in sustainable home textiles — exactly what European importers demand. Strong differentiation through certification stack.","Holds GRS, GOTS, OEKOTEX and OCS certifications simultaneously — supplying certified sustainable home textiles in organic cotton, recycled cotton, bamboo, linen and hemp to global markets from Coimbatore.",cottonconcepts.global; LinkedIn; certification body records; company description
Aaviza Electronics Pvt Ltd,aaviza.com,Coimbatore,Industrial sensors & instrumentation / Electronics manufacturing (Basket B),"Electronic manufacturing services — PCBA, box build, magnetic coil assembly, wiring harness. 3 facilities, 38,000 sq.ft. R&D subsidiary Viccacia Global Technologies formed",Rs.30-100Cr,Promoter-led,MD / Director,India SME 100 Awards 2023 winner. Industry Outstanding recognition. Formed R&D subsidiary Viccacia Global Technologies — signals growth intent. Multi-location operations across Karnataka and Tamil Nadu.,PASS,"3 manufacturing facilities (38,000 sq.ft total) in Bengaluru, Coimbatore, Doddaballapur. PCBA, box build, coil assembly, wiring harness in-house. ISO certified.",PASS,Manufacturing facility in Coimbatore confirmed. Multi-city operations with Coimbatore as home base.,Moderate (10),India SME 100 Award 2023 provides credibility. Multi-location manufacturing setup unusual for mid-size EMS. R&D subsidiary Viccacia formed to move up value chain. However EMS is competitive market.,Moderate (8),SME 100 Award and R&D subsidiary formation shows strategic thinking. Multi-location operations require structured management. Specific leadership credentials not publicly confirmed.,Strong (15),"India's EMS market growing at 20%+ CAGR driven by China+1, PLI for electronics, and domestic demand. Government push for semiconductor and electronics manufacturing.",Strong (15),India SME 100 Award 2023. Formation of R&D subsidiary (Viccacia). Multi-facility expansion signals growth ambition. National recognition. Signals met: Certifications/Recognition + Facility.,Moderate (10),ISO certified. Multi-location operations (3 facilities) require coordinated production and quality systems. EMS operations require documented traceability. No explicit ERP mention.,Moderate (8),201-500 employees across 3 cities suggests growing management layer. R&D subsidiary formation suggests second leadership layer emerging. Specific succession not confirmed.,66,B — Probable Federer,Fit,"EMS with SME 100 Award, 3 facilities and R&D subsidiary — in India's fastest growing manufacturing sector. C3 and C4 moderate. Strong growth signals and sector tailwind carry the score.",India SME 100 Award 2023 winner with 3 manufacturing facilities and a new R&D subsidiary (Viccacia Global Technologies) — positioned at the intersection of India's EMS boom and Coimbatore's engineering talent pool.,aaviza.com; India SME 100 Awards 2023; LinkedIn; company description
VEEYES Alloys Pvt Ltd,veeyes.co.in,Coimbatore,Precision auto components & engineering / Specialty castings (Basket C),Steel foundry producing high-alloy castings for oil & gas sector. 30 years of operation. 1001-5000 employees. TUV-verified GHG emissions (Scope 1 & 2),Rs.300-500Cr,Promoter-led,MD / Director,30 years in steel foundry operations for oil & gas. 1001-5000 employees — significant scale. GHG emissions verification by TUV INDIA signals formal governance consciousness.,PASS,Steel foundry in Coimbatore producing oil & gas castings. In-house manufacturing confirmed. 1001-5000 employees. 30 years operational.,PASS,Manufacturing in Coimbatore for 30+ years. All production in India.,Moderate (10),Specialization in high-alloy steel castings for oil & gas provides sector focus. TUV-verified GHG compliance signals international standards consciousness. No unique proprietary process or IP found publicly.,Moderate (8),1001-5000 employees requires structured management at scale. GHG verification initiative shows governance consciousness. Specific founder background not publicly confirmed.,Strong (15),Steel castings for oil & gas — infrastructure investment tailwinds in India and Middle East. Foundry sector is China+1 beneficiary. Oil & gas capital expenditure globally increasing.,Moderate (8),GHG verification by TUV INDIA — recent formal initiative. Several roles on LinkedIn. 1001-5000 employees at scale. Signals met: 1 (Certification — GHG verification).,Moderate (10),1001-5000 employees requires structured HR and production systems. GHG Scope 1 & 2 verification requires data measurement infrastructure. No explicit ERP mention but scale implies systems.,Weak (0),Privately held — ownership and succession structure not publicly visible. No MCA filing data available. No professional managers or independent directors found in public data.,51,C — Borderline,Borderline,Large foundry (1001-5000 employees) with oil & gas specialty and recent TUV GHG certification. C8 is weak — succession not visible. Research MCA director filings before including.,Recently completed TUV INDIA third-party GHG Emissions Scope 1 & 2 verification — one of few Coimbatore foundries pursuing formal carbon accounting ahead of regulatory requirements.,veeyes.co.in; LinkedIn; TUV INDIA verification announcement; company description
DMW CNC Solutions India Pvt Ltd,dmwindia.com,Coimbatore,Precision auto components & engineering (Basket C),"CNC machined components (cast iron, ductile iron, aluminium, brass). Electric motors 0.5-100HP (brand DMW). Rotary tillers for agriculture (brand Ishan). Multi-product company",Rs.50-100Cr,Promoter-led,MD / Director,"Privately held. 501-1000 employees — substantial size. Two own consumer brands (DMW motors, Ishan tillers) alongside contract machining. Multi-product management implies structured operations.",PASS,In-house machining of castings. In-house motor manufacturing (0.5-100HP). In-house rotary tiller production. Multiple product lines under own brands confirmed.,PASS,Manufacturing in Coimbatore. All operations in India.,Moderate (10),"Three distinct product lines with own brands (DMW motors, Ishan tillers). Unusual breadth for an MSME. Own brands signal some IP/brand investment. Not pure contract manufacturer.",Moderate (8),501-1000 employees running 3 distinct product lines requires structured management. Brand investment in DMW and Ishan shows long-term business thinking. Specific DM background not confirmed.,Moderate (8),Electric motors — growing with EV and industrial automation. Agricultural equipment — farm mechanization push. Precision machining — China+1 benefit. Multiple segments but none with dominant tailwind.,Moderate (8),501-1000 employees with multiple product categories suggests ongoing growth. Multiple roles listed. No specific expansion announcement found. Signals met: 1 (Hiring).,Moderate (10),501-1000 employees across 3 product lines requires coordinated production planning. Multiple brands need organized operations structure. No explicit ERP mention found.,Moderate (8),Privately held with 501-1000 employees — likely has some professional management. Multiple brands suggest leadership beyond single founder. Specific succession not confirmed.,52,C — Borderline,Borderline,"Three-product company with own brands — operational complexity for a private MSME is a positive signal. However without clear differentiation in any one segment, sits borderline. Motor and agri brand deserves deeper investigation.","Runs three distinct product lines — CNC machined components, DMW branded electric motors (0.5-100HP), and Ishan branded rotary tillers — from a 500+ person Coimbatore operation.",dmwindia.com; LinkedIn; company description
Five Fingers Exports India Pvt Ltd,fivefingersexports.com,Coimbatore,Industrial machinery (Basket C),"PP woven bag machinery — BCS Liner Insertion Machine, Cement Valve Bag Machine, Flexo Roll-to-Roll Printing Machine, automation solutions. Exports to 20+ countries including USA, Canada, UAE, Africa",Rs.30-50Cr,"A. Ananth, K.P. Arunkumar, M. Mohamad Imran Badusha",Co-founders,Named 3-founder team — transparent governance. Founded 2011. ISO 9001 certified. Launched Heavy Duty BCS Machine 2025 — active R&D. Export to 20+ countries confirms international quality standard.,PASS,In-house design and manufacturing of PP woven bag machinery in Coimbatore since 2011. ISO 9001 certified manufacturer. Not a trader.,PASS,Manufacturing in Coimbatore since 2011. Exports from Coimbatore to 20+ countries.,Strong (20),"Niche machinery for PP woven bag industry. Exports to 20+ countries including USA, Canada, UAE, Africa. Recently launched Heavy Duty BCS Machine with liner and top hemming — new product innovation. ISO 9001 certified.",Strong (15),Named 3-founder team with transparent governance. Recently launched new product (Heavy Duty BCS Machine) — signals active R&D. Export to 20+ countries confirms international quality standards met.,Strong (15),PP woven packaging machinery — growing global demand. Exports to 20+ countries confirms international demand. Packaging industry growing with e-commerce and FMCG expansion.,Strong (15),Recently launched Heavy Duty BCS Machine (significant product innovation). 6 open roles (aggressive for this size). Exports to 20+ countries and counting. Signals met: 2 (Certifications/New product + Hiring).,Moderate (10),ISO 9001 certified. Multi-founder team requires structured coordination. Export to 20+ countries demands quality documentation. No explicit ERP but structured operations implied by export scale.,Strong (15),3 named co-founders with distinct responsibilities — not single-founder concentration. Multi-founder governance is positive succession signal. Professional structure for a 2011 company.,90,A — Strong Federer,Strong Pass,"Niche PP woven bag machinery manufacturer exporting to 20+ countries with named 3-founder team, fresh product launch (Heavy Duty BCS Machine), and aggressive hiring. Strong Federer in a very specific niche.","Just launched the Heavy Duty BCS Machine for Liner and Top Hemming — one of Coimbatore's specialized machinery exporters reaching 20+ countries including USA, Canada, UAE and Africa.",fivefingersexports.com; LinkedIn (6 open roles); product launch announcement 2025; ISO 9001 records
CarlStahl Craftsman Enterprises Pvt Ltd,carlstahlcraftsman.com,Coimbatore,Precision auto components & engineering (Basket C),"Industrial lifting solutions — electric chain hoists, wire rope hoists, light crane systems, spring balancers, monorail systems. Designed for India, manufactured to European standards. JV with Carl Stahl Germany (140 years)",Rs.50-100Cr,JV Management (Carl Stahl + Craftsman Automation),MD / JV Director,JV formed 2007 between Carl Stahl (140-year German material handling group) and Craftsman Automation (world-class Indian engineering). JV governance structure enforces European engineering and quality standards.,PASS,"Complete in-house manufacturing at Coimbatore facility including machining, casting, assembly, welding and surface treatment. Not importing and reselling European products — manufacturing locally to European standards.",PASS,Manufacturing facility in Coimbatore confirmed. All production in India.,Strong (20),"JV with Carl Stahl (140-year German material handling group) — European design standards applied to Indian manufacturing. Serves automotive, aerospace, pharma and solar manufacturing. German technical heritage is the moat.",Strong (15),"JV structure with 140-year European company forces structured quality processes, documentation and engineering discipline. Professional management implied by JV governance across both partners.",Strong (15),"Industrial lifting equipment — manufacturing sector growth drives demand. Automotive, aerospace and pharma customers all growing. Make-in-India for industrial equipment. Import substitution of European-standard hoists.",Moderate (8),5 open roles. Sales and Engineering hiring. JV since 2008 — stable established operation. Serving multiple growing sectors. Signals met: 1 (Hiring).,Strong (20),"JV with European partner requires formal quality systems, documentation, engineering standards compliance. Automotive, aerospace and pharma customers demand rigorous process control. Professional JV governance structure enforces systems discipline.",Strong (15),JV governance structure with Carl Stahl means formal board with European oversight. Not a single-founder-dependent company. Professional management required by JV agreement. Leadership depth institutionalized.,93,A — Strong Federer,Strong Pass,European-standard industrial lifting equipment manufacturing from Coimbatore since 2008. JV governance with 140-year German company enforces systems maturity. Strong on all 6 criteria.,JV with 140-year-old German material handling company Carl Stahl — manufacturing European-standard industrial hoists and crane systems entirely in Coimbatore since 2008.,carlstahlcraftsman.com; LinkedIn (5 open roles); Carl Stahl Group global records; company description
Geco Legend Enviro Tech,gecolegend.com,Coimbatore,Precision auto components & engineering (Basket C),"High precision machining (E350, E450, hardened materials, stainless steels, aluminium alloys). Cylinder manufacturing, precision fabrication, air filtration and extraction equipment manufacturing",Rs.50-100Cr,Promoter-led (Partnership),Partner / Director,"Group of companies specializing in high precision machining, cylinder manufacturing and fabrication. Partnership-based structure with combined capabilities under one roof. 20 open roles.",PASS,In-house high precision machining for hardened materials and exotic alloys. Cylinder manufacturing and precision fabrication. Air filtration and extraction equipment manufacturing. 201-500 employees.,PASS,Manufacturing in Coimbatore. All operations in India.,Moderate (10),"Capability to machine hardened E350/E450 and exotic alloys provides some differentiation. Integrated group structure with machining, cylinder and filtration under one roof. No unique certification or IP found.",Moderate (8),Group leadership with multi-capability precision manufacturing expertise. Partnership structure with export orientation. Specific founder academic credentials not confirmed.,Strong (15),Precision machining for export — China+1 beneficiary. Air filtration equipment growing with industrial environmental compliance push. Contract manufacturing for global OEMs growing.,Strong (15),20 open roles on LinkedIn — aggressive hiring for 201-500 employee company. Partnership with group companies signals growth structure. Signals met: 2 (Hiring + company growth structure).,Moderate (10),201-500 employees across group companies requires structured coordination. Multiple precision capabilities under one roof requires process discipline. No explicit ERP mention found.,Weak (0),Partnership firm — succession and professional management not confirmed publicly. Single family concentration likely in partnership structure.,58,C — Borderline,Borderline,Strong precision machining capabilities including hardened and exotic alloys. 20 open roles is positive signal. Partnership structure and no systems maturity evidence limits score.,"Machines hardened E350/E450 steel and exotic alloys across precision CNC, cylinder manufacturing and air filtration equipment — multiple high-precision capabilities under one Coimbatore roof with 20 open roles.",gecolegend.com; LinkedIn (20 open roles); company description
Genner Hydraulics,gennerhydraulics.com,Coimbatore,Industrial machinery / precision engineering (Basket C),Standard and custom hydraulic cylinders for diverse industries and geographies. High-calibre materials with state-of-the-art production and strict quality control. Design to manufacture to servicing,Rs.30-100Cr,Promoter-led,MD / Director,Privately held. Highly skilled engineering team. Preferred supplier positioning claimed. Multiple open roles in engineering and quality assurance. Custom hydraulic cylinder specialist.,PASS,In-house manufacturing of hydraulic cylinders. Design to manufacture to servicing all in-house. Own facility in Coimbatore.,PASS,Coimbatore-based manufacturing. Tamil Nadu. Serves broad customer base across industries and geographies.,Moderate (10),Custom hydraulic cylinders — the custom element is key. Standard hydraulic cylinders are commodity; custom cylinders for specific load/pressure/environment requirements are engineered products. Multiple industry coverage.,Moderate (8),Focus on professional engineering workforce and preferred supplier positioning. QA hiring signals structured approach. Specific DM academic credentials not publicly available.,Moderate (8),"Hydraulic systems used across construction, industrial, agriculture and defence. Moderate stable tailwind without specific growth spike.",Moderate (8),Multiple roles in engineering and quality assurance. Active hiring. Signals met: 1 (Hiring — QA and engineering focus).,Moderate (10),State-of-the-art production techniques and strict quality control explicitly mentioned. Engineering and QA roles being hired signals structured processes. No explicit ERP mention.,Weak (0),"51-200 employees, privately held — succession and professional management not publicly confirmed. Likely founder-dependent at this size.",44,C — Borderline,Borderline,Custom hydraulic cylinder maker with engineering focus. Small size and limited public evidence of systems or succession limits score. Verify if they serve defence or mining applications — would improve profile significantly.,Custom hydraulic cylinder manufacturer serving diverse industries from Coimbatore — engineering and quality assurance hiring signals capability-building intent.,gennerhydraulics.com; LinkedIn; company description
Hydro Press Industries,hydropressindustries.com,Coimbatore,Industrial machinery (Basket C),Filter press manufacturer — sizes 470mm to 2000mm with various automation configurations. Manufacturer and exporter. Partnership firm,Rs.30-100Cr,Promoter-led (Partnership),Partner / Director,Partnership firm. Manufacturer and exporter of filter presses. 15 open roles — moderate hiring. Operating in industrial liquid-solid separation equipment niche.,PASS,Own manufacturing of filter presses in Coimbatore. Partnership firm with established production. In-house fabrication and assembly.,PASS,Coimbatore-based manufacturing. Tamil Nadu. Exports from Coimbatore.,Moderate (10),Filter press manufacturer with size range 470-2000mm and automation configurations — some technical depth. Exporter status signals quality above local-only standard. No certifications or specific industry focus found.,Moderate (8),Partnership firm — founder/partner managed. 15 open roles signals active growth. Specific DM background not available publicly.,Moderate (8),"Filter presses serve chemical, pharma, food, mining sectors — moderate stable demand. No specific sector tailwind driving exceptional growth.",Moderate (8),15 open roles (moderate for size). Active exports. Signals met: 1 (Hiring + export activity).,Weak (0),Partnership firm structure — typically less formal systems. No ERP or digital systems evidence. No structured costing model evidence found publicly.,Weak (0),Partnership firm — no succession evidence. Single family concentration likely. No professional managers or independent directors found.,34,D — Not ICP,Fail,"Partnership firm with weak systems maturity (C7=0), no succession evidence (C8=0), and no strong differentiation. Despite export presence and 15 open roles, structural issues are disqualifying. Included as fail documentation per assignment requirement.",—,hydropressindustries.com; LinkedIn (15 open roles); company description
